duplicate_id,original_id,duplicate
862 808,156 781,OUI
863 777,360 794,OUI
863 803,132 067,OUI
861 727,2 145,OUI
861 735,11 636,OUI
865 474,2 276,OUI
853 428,98 905,OUI
863 836,215 050,OUI
854 214,710 664,OUI
862 009,22 517,OUI
855 467,2 259,OUI
855 481,21 726,OUI
856 492,23 404,OUI
856 522,22498,OUI
856 655,40 200,OUI
856 829,32 132,OUI
864 972,3 706,OUI
863 755,127 364,OUI
863 789,196 882,OUI
865 543,171 446,OUI
865 569,100 256,OUI
862 522,11 631,OUI
864 140,11 606,OUI
865 684,65 304,OUI
865 758,22 775,OUI
858 697,2 118,OUI
865 793,44 068,OUI
853 927,15 539,OUI
861 759,57 178,OUI
863 387,518 565,OUI
853 998,99 742,OUI
864 711,335 805,OUI
864 282,6 260,OUI
864 471,248 111,OUI
864 319,207 283,OUI
862 738,66 676,OUI